Times,Euclidean Distance [m],Mahalanobis Distance [m],Pc
764402400.9159929,4537.554405009683,108.23941940354356,1.36116604e-07
764402400.9160929,4538.0494742137,107.65937578371062,1.3599193e-07
764402400.9161929,4538.544543418268,107.43731940398324,1.35864302e-07
764402400.9162929,4539.0396126251635,103.31905957002051,1.35737944e-07
764402400.9163929,4539.5346818334965,105.13310169468448,1.35609134e-07
764402400.9164929,4540.029751043268,107.40132844802388,1.3548833e-07
764402400.916593,4540.524820254955,110.16862941074243,1.35363769e-07
764402400.916693,4541.019889468078,110.43484373825311,1.35239173e-07
764402400.916793,4541.514958682637,103.30468546380675,1.35108744e-07
764402400.916893,4542.010027896706,105.54887984216664,1.34985378e-07
764402400.916993,4542.505097113096,102.72882991115927,1.34858745e-07
764402400.917093,4543.000166330922,106.51764414567147,1.34739554e-07
764402400.917193,4543.495235549706,102.8701473368313,1.34610971e-07
764402400.9172931,4543.990304769925,107.906920452089,1.34493558e-07
764402400.9173931,4544.485373991578,106.37990737766259,1.34363226e-07
764402400.9174931,4544.980443215706,106.25508057479027,1.34241169e-07
764402400.9175931,4545.475512440381,104.61535964597198,1.34116137e-07
764402400.9176931,4545.970581667374,100.19908392782166,1.33990446e-07
764402400.9177932,4546.4656508958005,105.27102334635936,1.33869988e-07
764402400.9178932,4546.960720126133,106.15911214725988,1.33746782e-07
764402400.9179932,4547.4557893578985,102.06121062128581,1.33622535e-07
764402400.9180932,4547.950858591094,106.67885705550638,1.33500626e-07
764402400.9181932,4548.44592782572,106.33041556658631,1.33378677e-07
764402400.9182932,4548.940997061776,104.48268318323336,1.33249029e-07
764402400.9183933,4549.436066299261,108.53111567291666,1.33131798e-07
764402400.9184933,4549.931135537698,104.58438417806285,1.33006185e-07
764402400.9185933,4550.426204777565,107.51491735761363,1.32886565e-07
764402400.9186933,4550.921274018858,107.75280654712054,1.32761626e-07
764402400.9187933,4551.416343261579,107.94757114767376,1.32640533e-07
764402400.9188933,4551.911412504841,102.4464542640216,1.32512736e-07
764402400.9189934,4552.406481750415,110.70112096097559,1.32392884e-07
764402400.9190934,4552.901550997416,110.59555407342151,1.32272683e-07
764402400.9191934,4553.396620245841,110.67277104354088,1.32150266e-07
764402400.9192934,4553.891689496169,110.67369422646638,1.32026595e-07
764402400.9193934,4554.386758747923,102.34331836497789,1.31903958e-07
764402400.9194934,4554.881828001099,106.2871026196517,1.31783398e-07
764402400.9195935,4555.376897254812,108.74993081358866,1.31658737e-07
764402400.9196935,4555.8719665108365,103.22759951000714,1.31536616e-07
764402400.9197935,4556.367035767807,106.68217335340162,1.31415481e-07
764402400.9198935,4556.862105026199,108.09409420433099,1.31292744e-07
764402400.9199935,4557.357174286013,103.46468544879346,1.31172108e-07
764402400.9200935,4557.852243547249,100.10218043968048,1.31045392e-07
764402400.9201936,4558.347312809905,103.71919985322845,1.30922378e-07
764402400.9202936,4558.842382073095,102.36728750449866,1.30802444e-07
764402400.9203936,4559.337451337551,93.98701328224573,1.3067892e-07
764402400.9204936,4559.832520603426,99.30335803579996,1.30561379e-07
